"Back","Back"
"Delete Slider","Delete Slider"
"Save and Continue Edit","Save and Continue Edit"
"Save Slider","Save Slider"
"You deleted Slider.","You deleted Slider."
"We can't find the Slider to delete.","We can't find the Slider to delete."
"This Slider no longer exists","This Slider no longer exists"
"Slider","Slider"
"This Slider no longer exists.","This Slider no longer exists."
"You saved the Slider.","You saved the Slider."
"Something went wrong while saving the Slider.","Something went wrong while saving the Slider."
"Ereactor","Ereactor"
"Slider Items","Slider Items"
"Please select","Please select"
"CMS Page","CMS Page"
"Gallery","Gallery"
"Could not save the slider: %1","Could not save the slider: %1"
"Could not delete the Slider: %1","Could not delete the Slider: %1"
"Slider with id "%1" does not exist.","Slider with id "%1" does not exist."
Delete "${ $.$data.entity_id }",Delete "${ $.$data.entity_id }"
Are you sure you wan\'t to delete a "${ $.$data.entity_id }" record?,Are you sure you wan\'t to delete a "${ $.$data.entity_id }" record?
"General Information","General Information"
"General","General"
"Image","Image"
"Is Enabled?","Is Enabled?"
"Sort Order","Sort Order"
"Type","Type"
"Title","Title"
"Add","Add"
"Additional Information","Additional Information"
"Product Label","Product Label"
"Item Code","Item Code"
"Add new Slider","Add new Slider"
"Enabled","Enabled"
"Disabled","Disabled"

